1,The Nightmare Before Christmas,1993,3.9,4568
2,The Mummy,1932,3.5,4388
3,Orphans of the Storm,1921,3.2,9062
4,The Object of Beauty,1991,2.8,6150
5,Night Tide,1963,2.8,5126
6,One Magic Christmas,1985,3.8,5333
7,Muriel's Wedding,1994,3.5,6323
8,Mother's Boys,1994,3.4,5733
9,Nosferatu: Original Version,1929,3.5,5651
10,Nick of Time,1995,3.4,5333
11,Broken Blossoms,1919,3.3,5367
12,Big Night,1996,3.6,6561
13,The Birth of a Nation,1915,2.9,12118
14,The Boys from Brazil,1978,3.6,7417
15,Big Doll House,1971,2.9,5696
16,The Breakfast Club,1985,4.0,5823
17,The Bride of Frankenstein,1935,3.7,4485
18,Beautiful Girls,1996,3.5,6755
19,Bustin' Loose,1981,3.7,5598
20,The Beguiled,1971,3.4,6307
21,Born on the Fourth of July,1989,3.4,8646
22,Broadcast News,1987,3.4,7940
23,Swimming with Sharks,1994,3.3,5586
24,Beavis and Butt-head Do America,1996,3.4,4852
25,Brighton Beach Memoirs,1986,3.4,6564
26,The Best of Times,1986,3.4,6247
27,Brassed Off,1996,3.5,6040
28,Last Tango in Paris,1972,3.1,7732
29,Leprechaun 2,1994,3.2,5125
30,Incident at Oglala: The Leonard Peltier Story,1992,3.7,5487
31,Kalifornia,1993,3.4,7095
32,The Lady Vanishes,1938,3.7,5762
33,Jingle All the Way,1996,3.6,5371
34,Killing Zoe,1993,3.4,5773
35,King of Beggars,1992,3.6,6025
36,Into the Woods,1990,4.0,9077
37,Joe Kidd,1972,3.7,5252
38,In Too Deep,1999,3.9,5823
39,King Kong,1976,3.2,8044
40,Internal Affairs,1990,3.5,6885
41,Jesus Christ Superstar,1973,3.6,6388
42,In the Name of the Father,1993,3.9,7972
43,Easy Money,1987,2.8,5794
44,Do the Right Thing,1989,3.6,7186
45,Days of Heaven,1978,3.4,5628
46,Drop Zone,1994,3.4,6087
47,Escape from L.A.,1996,3.3,6039
48,Emma,1996,3.5,7260
49,Disco Godfather,1979,3.0,5869
50,The Eiger Sanction,1975,3.5,7726
51,Elvis '56,1987,3.8,3518
52,Double Dragon,1994,3.3,5781
53,Double Jeopardy,1999,3.7,6311
54,Death Becomes Her,1992,3.4,6207
55,The Doors,1991,3.6,8436
56,Evil Dead 2: Dead by Dawn,1987,3.6,5047
57,Eat My Dust!,1976,3.0,5320
58,Desperado,1995,3.9,6269
59,Darkman II: The Return of Durant,1994,2.8,5557
60,The Doom Generation,1995,2.9,4309
61,The Englishman Who Went Up a Hill but Came Down a Mountain,1995,3.4,5752
62,Dr. Jekyll and Mr. Hyde,1920,3.2,4679
63,48 Hrs.,1982,3.6,5794
64,The Baby,1973,2.9,5101
65,The Addams Family,1991,3.5,5976
66,Bad Lieutenant,1992,3.2,5774
67,The Andromeda Strain,1971,3.6,7861
68,Albino Alligator,1996,3.1,5644
69,101 Dalmatians,1996,3.7,6172
70,Another 48 Hrs.,1990,3.5,5723
71,All About Eve,1950,3.8,8300
72,The Aristocats,1970,3.9,4731
73,Barbarella,1968,3.0,5882
74,The Asphyx,1973,2.8,5193
75,Apocalypse Now,1979,4.0,8825
76,Leviathan,1989,3.2,5877
77,Marvin's Room,1996,3.5,5901
78,Love and a .45,1994,3.3,6125
79,The Mark of Zorro,1920,3.1,6433
80,Little Buddha,1993,3.4,8455
81,Like Water for Chocolate,1992,3.8,6320
82,The Mikado,1939,3.1,5448
83,Lionheart,1990,3.5,6301
84,Minnie and Moskowitz,1971,3.2,6928
85,The Hunt for Red October,1990,4.0,8106
86,The Hindenburg,1975,3.4,7546
87,I Spit on Your Grave,1978,3.1,6084
88,Hellbound: Hellraiser II,1988,3.4,5606
89,Highlander 3: The Final Dimension,1994,3.2,5943
90,Heart and Souls,1993,3.8,6196
91,House of Whipcord,1974,2.5,6144
92,The Great Outdoors,1988,3.7,5424
93,Heaven's Gate,1980,3.0,13143
94,House on Haunted Hill,1959,3.6,4491
95,The Golden Child,1986,3.5,5609
96,The Hunted,1995,3.4,6605
97,The Great Waldo Pepper,1975,3.5,6467
98,Godzilla: King of the Monsters,1956,3.5,4828
99,Highlander 2: Renegade Version,1991,3.1,6585
100,High Noon,1952,3.9,5087
101,The Hunchback of Notre Dame,1923,3.5,6750
102,Heathers,1989,3.7,6193
103,Godzilla's Revenge,1969,3.3,4165
104,Hard Target,1993,3.4,5771
105,Henry: Portrait of a Serial Killer,1986,3.2,4938
106,Godzilla vs. Mothra,1964,3.5,5285
107,The Grifters,1990,3.4,6620
108,An Ideal Husband,1999,3.5,5879
109,A Fish Called Wanda,1988,3.7,6477
110,Gentleman's Agreement,1947,3.7,7104
111,The Prophecy,1995,3.6,5864
112,Flirting with Disaster,1996,3.2,5565
113,Ghostbusters,1984,3.8,6308
114,Far and Away,1992,3.6,8396
115,Fargo,1996,3.8,5889
116,Georgia,1995,2.9,7050
117,Fascination,1979,2.7,4900
118,Fresh,1994,4.0,6829
119,The Frighteners,1996,3.6,6607
120,Go West,1925,3.5,4101
121,Ferris Bueller's Day Off,1986,3.9,6177
122,The Ghost and the Darkness,1996,3.7,6594
123,Four Rooms,1995,3.6,5872
124,The First Wives Club,1996,3.6,6139
125,Operation Condor,1991,3.6,5435
126,Gallipoli,1981,3.7,6691
127,Fallen Angels,1995,3.5,5939
128,Girl on a Motorcycle,1968,2.5,5260
129,The Falcon and the Snowman,1985,3.4,7891
130,Red Scorpion,1989,3.3,6313
131,The Pallbearer,1996,2.7,5882
132,Reefer Madness,1936,3.1,3953
133,Reservoir Dogs,1992,4.0,5963
134,Priest,1994,3.4,5862
135,Pocahontas,1995,3.8,4864
136,The Battleship Potemkin,1925,3.6,4153
137,Platoon,1986,4.0,7187
138,Re-Animator,1985,3.4,5146
139,Pulp Fiction,1994,4.1,9265
140,Reds,1981,3.5,11710
141,The Quest,1996,3.5,5690
142,Passion Fish,1992,3.6,8079
143,The Relic,1997,3.3,6580
144,The Pebble and the Penguin,1995,3.6,4442
145,The Piano,1993,3.6,7245
146,Restoration,1995,3.4,7057
147,Captured,1998,3.2,5709
148,Conan the Destroyer,1984,3.4,6085
149,Creator,1985,3.3,6454
150,Congo,1995,3.2,6492
151,Child's Play 2: Chucky's Back,1990,3.2,5054
152,Chitty Chitty Bang Bang,1968,3.6,8730
153,Caligula,1979,2.6,6108
154,Camilla,1994,3.6,5486
155,Cop and a Half,1993,3.1,5558
156,The Crow,1994,3.8,6101
157,The Crossing Guard,1995,3.3,6654
158,Clerks,1994,3.7,5505
159,The Castle,1997,3.5,5040
160,The Cat and the Canary,1927,3.1,4954
161,Class of Nuke 'Em High,1986,3.0,5113
162,The Crow: City of Angels,1996,3.4,5149
163,Coming to America,1988,3.6,7006
164,Clueless,1995,3.6,5833
165,Clockers,1995,3.4,7699
166,Career Opportunities,1991,3.3,4976
167,Curtain Call,1998,3.2,5661
168,Scream,1996,3.3,6669
169,Sgt. Kabukiman  N.Y.P.D.,1996,3.0,6303
170,The Serpent and the Rainbow,1988,3.4,5633
171,Sgt. Bilko,1996,3.5,5663
172,Silent Running,1971,3.1,5376
173,Shout,1991,3.7,5303
